Pilar_TOE,Doc_ID,Año,TRL,F_Score_Individual,Justificacion_TRL_Gap,Riesgo_Contradiccion,Evidencia_Texto,URL_Ref
Technical,JNBRBM5E,2025,6,5.68,"The proposed Decentralized Token-less Blockchain (DTL-B) model demonstrates significant improvements in secure banking transaction processing, with high throughput and consistent validation accuracy. The simulation results show that the system maintains high performance even at peak loads, indicating its scalability and efficiency.","The use of token-less blockchain architecture may raise concerns about security and trust among participating entities.|The proposed model relies on a permissioned blockchain setup with three validating peer nodes, which may limit its applicability to larger-scale banking operations.|The simulation results do not provide a comprehensive evaluation of the system's performance under various attack scenarios.","[Source: Securing Banking Transactions with Blockchain: A Tokenless Approach | Section: Introduction]
As the number of transactions increased from 500 to 1500, the system maintained high throughput and consistent validation accuracy without the need for any token -based incentives. The average block finalization time remained under 2.5 seconds, even at peak loads, indicating the model’s scalability and efficiency. Network latency was observed to be minimal due to the lightweight consensus mechanism, and no double-spending or malicious tampering was detected during the simulation. Additionally, the proposed token-less approach exhibited faster transaction confirmation times compared to traditional blockchain systems that rely on mining or token staking. These results confirm the DTL-B model’s capability to support real-time, high-volume banking operations with enhanced security, reduced overhead, and improved trust among participating entities. Figure 3: Home page for the DTI-B Figure 4: Admin Login for the DTI-B Figure 5: Admin Register with DTI-B The figure 3 - 5 illustrate different components of a secure banking web application based on a token-less blockchain architecture: 6.1 Home Page Overview 89 Fringe Multi-Engineering Proceedings(FMEP),July-Sep2025,Volume01,Issue03 The homepage features a clean layout emphasizing the concept of secure online banking. It highlights the title ""Securing Banking Transactions with Blockchain: A Tokenless Approach"" and briefly introduces how blockchain can be used without tokens to secure financial transactions. This section explains that by using decentralized blockchain architecture, banks can mitigate fraud, enhance transparency, and boost transaction speed without relying on intermediaries or digital tokens. 6.2 Bank Admin Login Page The second screenshot displays the login interface for bank administrators. It requires the admin to select their bank from a dropdown list and enter a username and password. This suggests a secure access control mechanism where only verified personnel can manage banking operations. The user interface is simple and user-friendly, maintaining the focus on security and authentication. 6.3 Bank Admin Registration Page The final screenshot showcases the registration form for new bank administrators. Required fields include bank selection, username, password, email, phone number, address, date of birth, gender, and a profile picture upload option.",N/A
Technical,7UHQ6CYM,2024,6,5.24,"The text provides evidence of a functional blockchain system, with specific performance metrics and comparisons to legacy systems.",Scalability limitations of blockchain technology|Challenges to integration with legacy banking systems|Transaction latency and throughput issues in blockchain-based systems,"[Source: Investigating the role of blockchain technology in enhancing data integrity and security for interbank transactions | Section: Results]
Table 1: Summary of Blockchain performance metrics The data presented in the table offer a clear contrast in implementation performance metrics, both pre and post blockchain technology integration within interbank transaction systems. · Data Integrity (%): · Before Blockchain: 70% : susceptible to tampering and unauthorized changes in industry adopting legacy systems · Saved from Blockchain: Increased to 99%, showcasing blockchain capacity to provide data immutability through cryptographic hashing and distributed ledger technology. · Security Improvement (%): · Before Blockchain: Security against threats such as tampering and breaches was moderate at 50%. · Beyond Blockchain: Grew to 90%, and illustrates how blockchain can store inflexible records using its distributed architecture and consensus mechanisms, preventing manipulation. · Throughput (TPS): Before Blockchain: Legacy systems had a high throughput of 5000 TPS due to centralized processing. · Post Blockchain: Down to 1500 TPS, a limitation due to the scalability challenges which is a key characteristic of blockchainbased platforms depending on distributed consensus. · Latency (ms): · Pre Blockchain: Latency was at just 20ms in legacy systems, a symptom of their frictionless processes. · Post Blockchain: 200ms validation is distributed, so it requires additional time. · Scalability Decline (%): · Transaction throughputs of blockchain systems dropped by 47% under high transaction volumes, suggesting the need for scaling solutions, such as sharding or layer2 technologies. Though blockchain excels in data integrity and security, it introduces complications in terms of throughput and latency, which need to be fine tuned for practical largescale interbank systems. Table 2: the challenges in the adoption of the Blockchain This table shows the different kinds of challenges that blockchain technology integration presents to interbank systems, as well as their significance. · Scalability: · Severity: High.",N/A
Technical,YXZBA8JK,2024,6,5.24,"The BFS system has been developed and implemented, but its scalability and performance need further examination.","The text mentions that the BFS system faces several scalability challenges, such as processing complex smart contracts, managing large-scale data storage, and efficiently synchronising multiple blockchain networks.|However, it also states that sharding, off-chain transactions, sidechains, and layer-2 solutions can be employed to optimise the performance of the BFS system.","[Source: Blockchain Financial Statements: Innovating Financial Reporting, Accounting, and Liquidity Management | Section: Discussion]
Cost–benefit analyses of implementing BFS may differ across jurisdictions, influenced by factors such as the size of the economy, the complexity of financial markets, andtheleveloftechnologicalreadiness. Additionally,theeconomicbenefitsofBFS,such as increased investor confidence and access to capital, may vary across countries due to differences in market structures and investor behaviour. From a regulatory standpoint, implementingBFSwouldnecessitateclosecollaborationbetweenpolicymakers,industry stakeholders,andtechnologyproviderstoensurecompliancewithexistingregulationsand todevelopnew frameworksthataddressthe uniqueaspectsofblockchain-based financial reporting. Thismayinvolveadaptingcurrentaccountingstandards,dataprivacylaws,and financial reporting requirements to accommodate the decentralised and immutable nature of blockchain records. Furthermore, regulators may need to consider the cross-border implicationsofBFSadoption,asthetechnologyfacilitatestheseamlesstransferoffinancial information across jurisdictions, potentially raising concerns related to data sovereignty and jurisdictional oversight. AnotherareaforfutureresearchistheoptimisationoftheBFSsystem’sscalabilityand performance. While the current implementation has demonstrated its ability to process financial transactions in real time, further research is needed to ensure that the system can handle themassive volumes of transactionsgenerated by the global financial system. Thescalability ofthe BFSsystem isa criticalaspectthat requiresfurther examination. The systemfacesseveralscalabilitychallengesspecifictoitsdesign,suchasprocessingcomplex Future Internet2024,16, 244 34 of 36 smart contracts, managing large-scale data storage, and efficiently synchronising multiple blockchain networks. These challenges can potentially limit the system’s throughput and latency, affecting its overall performance and usability. To address these scalability issues, various techniques and solutions can be explored. For instance, sharding, which partitions the blockchain network into smaller, more manageable subsets, can be employed to distribute the computational load and improve transaction processing speeds.",N/A
Technical,Q4N539WF,2020,0,1.37,,,"[Source: Integrating Blockchain Technology in FinTech Database Systems: A Security and Performance Analysis | Section: Abstract]
Bitcoin's Proof of Work (PoW) method processes 7 TPS, whereas Ethereum manages 30 TPS. These constraints might cause delays and higher costs amid solid demand, such as market volatility when network congestion raises transaction rates. However, highthroughput blockchain networks like Solana or Algorand can handle thousands of transactions per second. FinTech application performance depends on the chosen blockchain platform and consensus mechanism (Hua et al., 2019). Layer 2 technologies like Bitcoin's Lightning Network or Ethereum rollups execute transactions off the leading network while retaining security to speed up transactions. These advancements boost performance for high-frequency trading and other time-sensitive financial applications, proving the significance of choosing the correct technology. Scalability Challenges Scalability is a system's capacity to accommodate more transactions without sacrificing performance. It is essential in FinTech since users and transactions expand dramatically. The ""blockchain trilemma""—trade-offs between decentralization, security, and performance— makes scaling traditional blockchains challenging. Different scaling solutions have been explored. Sharding divides the blockchain into manageable chunks that can execute transactions simultaneously. This strategy boosts speed but needs intricate shard coordination to preserve security and data integrity.",N/A
Technical,7UHQ6CYM,2024,6,5.23,"The text provides evidence of a functional blockchain system, with specific performance metrics and comparisons to legacy systems.",Scalability limitations of blockchain technology|Challenges to integration with legacy banking systems|Transaction latency and throughput issues in blockchain-based systems,"[Source: Investigating the role of blockchain technology in enhancing data integrity and security for interbank transactions | Section: Results]
• Blockchain (Hyperledger Fabric): Handled 1500 TPS, highlighting scalability issues in distributed systems. Figure 4 : Transaction Latency Comparison Legacy systems have higher transaction latency (in milliseconds) compare to the blockchain based systems. • Legacy Systems: 20ms latency due to streamlined, centralized transaction • Blockchain (Hyperledger Fabric): Latency spikes up to 200ms, since transaction needs to have go through distributed consensus in order to validate and append. Fig. 5: Scalability Test of Blockchain System The given figure represents the throughput of a blockchain system as the number of transactions grows from 1 million to 15 million. • Throughput Deterioration: An increase in transaction volume of transactions from 1500 TPS to 800 TPS indicates the inherent scalability issues of blockchain • Blockchain: Overview, Security, Challenges, and Opportunities this paper provides an overview of the key characteristics of blockchain followed by an examination of its distinct security features. This visualization presents user trust levels on three elements—Transparency, Security Confidence and Efficiency Perception before and after blockchain adoption. • Before Blockchain: Trust levels were between 50% and 60%, with opaque systems and security worse than one would hope, leading to lower levels of trust. • Post Blockchain: Trust levels rose further to 85%95% as blockchain’s inherent transparency and security promote trust in interbank transfers. Implications: Blockchain offers transparency, high level security, and increased efficiency which build user trust around the interbank ecosystem among the stakeholders in these ecosystems. Table 1: Summary of Blockchain performance metrics The data presented in the table offer a clear contrast in implementation performance metrics, both pre and post blockchain technology integration within interbank transaction systems.",N/A
Organizational,6RPCMYSH,2024,3,3.9,"The paper discusses the current state of research on Blockchain in the banking sector, its applications, and potential benefits. However, it does not provide concrete evidence or results from experiments or implementations.",The study's reliance on bibliometric analysis may limit its ability to provide comprehensive interpretations for each analysis.|Incorporating other methodologies like meta-analysis and systematic literature review alongside bibliometrics could provide a wider range of analyses and offer a more detailed exploration of Blockchain implementation in the banking sector.,"[Source: The blockchain in the banking industry: a systematic review and bibliometric analysis | Section: Results]
220 s ector through g arg et al. (2021) Measuring the perceived benefits of implementing blockchain 65 Financial t echnology technology in the banking sector innovation osmani et al. ( 2021) Blockchain for next generation services in banking and 42 finance: cost, benefit, risk and opportunity analysis Harris et al., (2019) Blockchain platform and future bank competition 18 s aheb and Mamaghani (2021) exploring the barriers and organizational values of blockchain 15 adoption in the banking industry Blockchain and a rtificial Kimani et al. (2020)Blockchain, business and the fourth industrial revolution: 67 intelligence: t he Future Whence, whither, wherefore and how? of supply Chain naimi-s adigh et al., (2021)Digital transformation in the value chain disruption of 41 Management banking services. shoaib et al. ( 2020) a n integrated framework to prioritize blockchain-based 32 supply chain success factors Hooper and Holtbrügge (2020) Blockchain technology in international business: changing the 27 agenda for global governance Firica & oana (2017) Blockchain technology: Promises and realities of the year 17 Decentralized Finance Cuccuru and (2017) Beyond bitcoin: a n early overview on smart contracts66 Zetzsche et al. (2020) Decentralized finance 61 Holotiuk et al. (2019) Radicalness of blockchain: an assessment based on its impact 27 on the payments industry a lbrecht et al. (2019) t he use of cryptocurrencies in the money laundering process 26 Fauzi et al., (2020) Bitcoin and cryptocurrency: Challenges, opportunities and 24 future works 4.0 iR turns finance s chuetz and Venkatesh (2020) Blockchain, adoption, and financial inclusion in i ndia: 153 industry into digital Research opportunities Dierksmeier and s eele (2018)Cryptocurrencies and Business e thics110 Chen et al. (2017) t he transition from traditional banking to mobile internet 84 finance: an organizational innovation perspective - a comparative study of Citibank and iCBC Kimani et al.",N/A
Organizational,MYXE584S,2022,6,4.64,"The study provides a comprehensive analysis of the factors influencing Indian bankers' intention to use blockchain technology, including performance expectancy, initial trust, and government regulations. The research model has strong explanatory power (0.69) and is reliable in various situations.","The study's results show that high levels of trust in blockchain technology increase the bankers' intention to use it, but the lack of clarity in rules and regulations regarding the usage of blockchain technology in banking services makes bankers distrustful.|The facilitating condition is another important determinant of usage intention and creates initial trust among users of blockchain technology in the banking environment, but the perceived risk of using blockchain services was another observation from the study results.","[Source: Examining the Factors Affecting the Adoption of Blockchain Technology in the Banking Sector: An Extended UTAUT Model | Section: Discussion]
It providesa realistic viewof thebehavioraland technologicalfactors that influence the decision to use blockchain technology. The study can assist banking and financialinstitutionstakeholdersinsupportingblockchaininitiatives,implementation,and deploymentinIndianbanks. Thetheoreticalandpracticalimplicationswillbeexplainedin the next sections. 6.1.1. Theoretical Implications This paper provides several significant advances in theory. First, to the best of our knowledge,thisisanearlyattempttoanalyzeblockchainusageintentioninIndianbanksin acomprehensivemanner. Althoughfewpriorstudieshaveaddressed blockchain adoption using the UTAUT model, the strength of this study lies in extending the UTAUT model by adding contextual behavioral, technological, and environmental variables. This is evidenced by the high explanatory power of our research model (0.69). Second, it is important to point out that the constructs relevant to blockchain adoption are not just FC,butalsoperformanceexpectancy,initialtrust,andthemoderatingroleofgovernment regulationandperceivedrisk. ThiswarrantstheextensionoftheUTAUTframeworkby adding contextual constructs to explain the adoption of blockchain in the Indian banking system. Futurestudiesontechnologyadoptionmaybenefitfromthisresearch. Thisresearch Int. J. Financial Stud.2022,10, 90 15 of 20 presentsanintegrativemodelforevaluatingtheimpactofbehavioral,technological,and environmental aspects on the adoption of new technologies. 6.1.2. Implications for Practice This study provides a significant hands-on impact on relevant stakeholders, government representatives, industryprofessionals, andpolicymakers, involvedin implementing and delivering the blockchain service. This study found the direct effects of performance expectancy on initial trust and usage intention. The direct effect of PE on UI shows that the bankers’ intention to use blockchain technology is largely influenced by the benefits (e.g., convenience, economic benefits, satisfaction, etc.) of using technology to carry out banking operations. This means that the banking authorities must provide at least all the required services available through blockchain technology.",N/A
Organizational,JNAS3M6F,2020,6,4.04,"The text provides evidence of the use of blockchain technology in various industries, including banking and financial services. It also discusses the benefits and challenges of implementing blockchain solutions.","Some authors argue that blockchain technology is not yet scalable, while others claim it has the potential to revolutionize the way transactions are processed.|There is a debate about the security of blockchain systems, with some researchers highlighting vulnerabilities and others emphasizing their robustness.","[Source: Blockchain for next generation services in banking and finance: cost, benefit, risk and opportunity analysis | Section: Discussion]
Furthermore, blockchain can be used to create trust and reduce fraud ( Mainelli and Smith, 2015 ). In addition to these benefits, blockchain techno logy offers opportunities for banks to gain a competitive advantage in terms of economy vi rtualisation over their competitors and introduce new services in future. Although blockchain may bring enormous benefits and opportunities to the banking industry and give birth to a whole new generation of services (Ølnes et al. , 2017 ), there remains significant risk and cost implication of adopting the technology ( Atzori, 2015 ; Ølnes et al. , 2017 ). As shown in Table 3 , various risk factors such as scalability, security risks, interoperability reversibility and regul atory risks are some of the main challenges facing blockchain technolo gy. In addition, operating cost (transaction costs, energy costs, storage costs) of blo ckchain technology are some of the other challenges for banks. Such issues need to be taken into consideration before the mass adoption of these technologies in this field. Nevertheless, most research has been focused on addressing the technological c hallenges, and many initiativ es remain in their infancy. As such, there is a need for a holistic understandi ng of the various aspects of cost, benefits, risk and opportunities to create blockchain app lications that work for banking and finance sector. 7. Concluding remarks This study highlights the need for a holistic understanding of the various aspects of cost, benefits, risk and opportunities to create blockchain applications that work for banking and finance sectors. It has been quite evident how financial technologies created a new paradigm shift in driving innovation in the financial sector, and blockchain technology is a significant part of this transformations. This study attempted to offer some insights that can help in developing the required understanding of the application of blockchain technology in the context of the banking and finance sectors. The acquired findings identify that there are limited contributions in utilising blockchain in the banking and finance sectors when compared with other sectors.",N/A
Organizational,JNAS3M6F,2020,6,4.04,"The text provides evidence of the current state of blockchain technology in banking and finance, including its benefits (e.g. privacy, transparency, security), costs (e.g. transaction costs, energy costs), risks (e.g. technical, operational, regulatory) and opportunities (e.g. competitive advantages).","The text highlights the potential for blockchain to reduce infrastructure costs by 30% for banks, but also notes that storage costs are a rising concern.|Blockchain is seen as a secure technology, but also raises concerns about scalability and interoperability.","[Source: Blockchain for next generation services in banking and finance: cost, benefit, risk and opportunity analysis | Section: Introduction]
Clohessy and Acton (2019) examined the primary reasons of organisations adopting blockchain and found that the intention to adopt was related to benefits such as reduced costs, enhanced security, efficiency and transparency of the transaction. 5.3 Vindicating blockchain risks for banking and finance services Banks adopting new technologies such as blockchain must be prepared to tackle technical and operational risk, regulatory and legal risk as well as reputation risk that may arise from these (Pennathur, 2001; Bauer and Hein, 2006; Deshpande et al., 2017) The Basel committee report defines operational risk as to the potential for loss due to significant deficiencies in system reliability and integrity. The Federal Deposit Insurance Company describes this risk as hardware/software failures, disruptions, protections, systems or database compromise. Operational risk is mainly arising from external hacking. Hackers may obtain confidential information by manipulating data or altering account balances (Attaran and Gunasekaran, 2019). For example, when small banks outsource their web operations, internal controls may not cover vendors who establish web-based functionalities (Pennathur, 2001). In addition, customers may intentionally or unintentionally misuse the website leading to an increase in operational risk. Overall, inadequate technical and operational controls, policies and procedures can create operational and security risk that can lead to theft and fraud in a digital environment (Deshpande et al., 2017). These issues can ultimately influence the reputation of the banks, a critical risk, as relationships in the sector are based on trust (Fiordelisi et al., 2014). From a technical point of view, several issues need to be investigated and taken into consideration that may potentially affect the use of blockchain technology to deliver sectorleading banking and finance processes. Issues such as scalability, security and interoperability and reversibility are some of the technological challenges highlighted in the Blockchain for existing literature (e.g. Vukoli/C19 c, 2015; Ølnes, 2016; Cerme~no, 2016) that the banking and banking and finance sector could face when using blockchain technology. When it comes to the blockchain finance as a tool for regulators and supervisors, research claims (e.g.",N/A
