Pilar_TOE,Doc_ID,Año,TRL,F_Score_Individual,Justificacion_TRL_Gap,Riesgo_Contradiccion,Evidencia_Texto,URL_Ref
Organizational,JNAS3M6F,2020,6,4.04,"The text provides evidence of the current state of blockchain technology in banking and finance, including its benefits (e.g. privacy, transparency, security), costs (e.g. transaction costs, energy costs), risks (e.g. technical, operational, regulatory) and opportunities (e.g. competitive advantages).","The text highlights the potential for blockchain to reduce infrastructure costs by 30% for banks, but also notes that storage costs are a rising concern.|Blockchain is seen as a secure technology, but also raises concerns about scalability and interoperability.","[Source: Blockchain for next generation services in banking and finance: cost, benefit, risk and opportunity analysis | Section: Introduction]
Nonetheless, as much as blockchain has brought opportunities for organisations, it is pivotal to realise that there will be several challenges and complexities across technical, regulatory and adoption-related areas (Attaran and Gunasekaran, 2019). Recent events such as digital currency theft and cybersecurity breaches have demonstrated the high-level of risks related to the use of blockchain technologies in banking and finance (Deshpande et al., 2017; Attaran; Gunasekaran, 2019). While exploiting the potential of new-disruptive technologies, specifically blockchain, it is equally vital to comprehend the potential benefits, risk and challenges associated with them to mitigate risks and avoid the technical, social and political consequences of failure. Therefore, this study aims to outline blockchain’s benefits, opportunities, costs, risks, as well as challenges of technology in the context of banking and finance services. The remainder of this paper is organised as follows: section two presents a state of the art review of blockchain technology within the banking and finance sectors. This is followed by highlighting the overall challenges of blockchain technology in section three. After that, in section four, the integrative literature review methodology is then introduced. Section five, cost, benefit, risk and opportunities framework is then introduced to examine blockchain technology within the banking and finance sector. After that, section six presents the discussions, and finally, section seven offers the concluding remarks of the study. 2. Blockchain for next generation banking and financial services Financial technologies have created a new paradigm shift in driving innovation in the financial sector, and blockchain technology is a significant part of this transformation (Lee and Shin, 2018). While there has been a wide range of traditional banking products from payments to investment services, blockchain technology has challenged this through offering innovative, more secured and faster transfers at lower costs (Lee and Shin, 2018). Blockchain technology can be explained, as “A blockchain is essentially a distributed database of records or public ledger of all transactions or digital events that have been executed and shared among participating parties. Each transaction in the public ledger is verified by the consensus of a majority of the participants in the system.",N/A
Environmental,RHTC2644,2024,6,5.24,"The empirical analysis and case studies provide evidence-based insights into the practical implications of blockchain adoption in financial accounting, indicating a moderate level of technological maturity.","Technical complexities, regulatory uncertainties, and interoperability issues pose significant barriers to widespread blockchain adoption.|Security vulnerabilities, such as 51% attacks and hacking attempts, can compromise the integrity and confidentiality of financial data.|Privacy concerns arise due to blockchain's transparent and immutable nature, particularly when sensitive financial data is recorded on public blockchains.","[Source: Development of Blockchain Technology in Financial Accounting | Section: Discussion]
Itenhances transparency, efficiency, andsecurity infinancial transactions,therebyimprovingtheintegrityandreliabilityoffinancialinformation. However, Computation2024,12, 250 16 of 19 challenges such as technical complexities, regulatory uncertainties, and interoperability issues pose significant barriers to widespread adoption. In light of these findings, organizations looking to adopt blockchain technology in financialaccountingshouldconsiderseveralrecommendations. Firstly,itisessentialtoconduct athorough assessment ofthe organization’s readinessand capabilities toimplement blockchain solutions. This includes investing in the necessary infrastructure, providing training for staff, and ensuring compliance with regulatory requirements. Additionally, organizations should prioritize collaboration and partnerships with industry stakeholders, including technology providers, regulators, and other financial institutions. Collaborative effortscan help address common challengesand accelerate the adoption of blockchain technology across the industry. Furthermore,organizations shouldadopt aphased approachto blockchain implementation, starting with pilot projects or proofs of concept to test the technology’s feasibility andefficacyinreal-worldscenarios. Thisiterativeapproachallowsforcontinuouslearning and improvement, mitigating risks associated with large-scale implementations. Looking ahead, future research should focus on addressing remaining gaps in knowledgetofurtheradvanceourunderstandingofblockchaintechnologyinfinancialaccounting. Thisincludesexploringemergingtrendsanddevelopmentsinblockchaintechnology,investigating the long-term impacts of blockchain adoption on financial reporting practices, and examining the implications of regulatory changes on blockchain implementation.",N/A
Environmental,Q78ELQLG,2023,6,5.24,"The paper discusses a framework for choosing a blockchain interoperability solution, which is a well-defined problem. The authors provide guidelines and metrics to evaluate the performance of an IM, indicating a moderate level of maturity.","There is no formalization of a general model for IMs that can answer technical requirements for DLTs and IMs.|There are still no methods to systematically evaluate and compare the performance of an IM.|Currently, there are no available standards on cross-chain asset transfers.","[Source: Do You Need a Distributed Ledger Technology Interoperability Solution? | Section: Introduction]
These research questions are important because often implementations of IM typically do not follow specific guidelines [25]. Secondly, as pointed out by [8, 12] there is still a lack of supporting tools for IMs, such as monitoring tools (e.g., visualization and analysis of cross-chain transactions and state), cross-chain digital identity, migration tools (change the DLT infrastructure on the go for a dApp or mDApp), security tools (automatic detection of frontrunning attacks, formal analysis of cross-chain protocols), and others. Following the reasoning line of this work, there are still no methods to systematically evaluate and compare the performance of an IM. Although we propose an initial set of metrics to respond to this need, there are no baseline benchmarks. Finally, regulation on cross-chain asset transfers, mainly among institutional players, will significantly impact how modern financial systems interact and evolve. Although there have been recent and numerous efforts on regulating certain aspects of interoperability (such as the ODAP protocol [60]), currently, there are no available standards. 1:32 • R. Belchior et al. Key Takeway 7. DLT interoperability standards Although none are official standards, there is a wide range of standardization efforts on blockchain interoperability. The works in [12, 101, 131] survey the major standardization efforts in the field.",N/A
Environmental,YXZBA8JK,2024,6,5.24,"The BFS system has been developed and implemented, but its scalability and performance need further examination.","The text mentions that the BFS system faces several scalability challenges, such as processing complex smart contracts, managing large-scale data storage, and efficiently synchronising multiple blockchain networks.|However, it also states that sharding, off-chain transactions, sidechains, and layer-2 solutions can be employed to optimise the performance of the BFS system.","[Source: Blockchain Financial Statements: Innovating Financial Reporting, Accounting, and Liquidity Management | Section: Discussion]
Cost–benefit analyses of implementing BFS may differ across jurisdictions, influenced by factors such as the size of the economy, the complexity of financial markets, andtheleveloftechnologicalreadiness. Additionally,theeconomicbenefitsofBFS,such as increased investor confidence and access to capital, may vary across countries due to differences in market structures and investor behaviour. From a regulatory standpoint, implementingBFSwouldnecessitateclosecollaborationbetweenpolicymakers,industry stakeholders,andtechnologyproviderstoensurecompliancewithexistingregulationsand todevelopnew frameworksthataddressthe uniqueaspectsofblockchain-based financial reporting. Thismayinvolveadaptingcurrentaccountingstandards,dataprivacylaws,and financial reporting requirements to accommodate the decentralised and immutable nature of blockchain records. Furthermore, regulators may need to consider the cross-border implicationsofBFSadoption,asthetechnologyfacilitatestheseamlesstransferoffinancial information across jurisdictions, potentially raising concerns related to data sovereignty and jurisdictional oversight. AnotherareaforfutureresearchistheoptimisationoftheBFSsystem’sscalabilityand performance. While the current implementation has demonstrated its ability to process financial transactions in real time, further research is needed to ensure that the system can handle themassive volumes of transactionsgenerated by the global financial system. Thescalability ofthe BFSsystem isa criticalaspectthat requiresfurther examination. The systemfacesseveralscalabilitychallengesspecifictoitsdesign,suchasprocessingcomplex Future Internet2024,16, 244 34 of 36 smart contracts, managing large-scale data storage, and efficiently synchronising multiple blockchain networks. These challenges can potentially limit the system’s throughput and latency, affecting its overall performance and usability. To address these scalability issues, various techniques and solutions can be explored. For instance, sharding, which partitions the blockchain network into smaller, more manageable subsets, can be employed to distribute the computational load and improve transaction processing speeds.",N/A
Environmental,7UHQ6CYM,2024,6,5.23,"The study demonstrates the effectiveness of blockchain technology in improving data integrity and security, but also highlights scalability challenges and limitations.",Scalability: Blockchain's throughput decreased by 47% with increasing transaction volumes.|Latency: Blockchain's latency (200ms) is higher than legacy systems.|Regulatory compliance: The study notes that regulatory ambiguity is a moderate challenge for blockchain adoption.,"[Source: Investigating the role of blockchain technology in enhancing data integrity and security for interbank transactions | Section: Discussion]
Conflicting regulations between jurisdictions lead to uncertainty and discourage institutions from engaging with these types of blockchain solutions without defined guidance. How to overcome the challenges recommended actions To overcome those challenges, the study policy recommendations are as follows: Adopting Sharding and Layer2 Solutions: For instance, to enhance scalability and decrease latency, methods such as sharding that split the entire blockchain network into smaller segments for parallel processing and layer2 solutions that transfer transactions to secondary layers can be utilized (Xu et al., 2022). Create Standardized Protocols: Crossindustry initiatives in establishing standards for integrating blockchain with legacy systems will help ease adoption. These protocols should balance security, interoperability, and efficiency (Zhang et al., 2021). Improve Coordination among Regulators: By working with regulators to establish clear and consistent frameworks, blockchain systems can ensure compliance and foster trust. Regulatory clarity is one of the important factors in protecting user's interests while promoting innovation, Peters and Panayi (2016) highlighted this statement. Fine tune consensus mechanisms: Adopting more efficient consensus mechanisms, like Raft or proof of stake, can cut down on waste compared to replicas that need to constantly stay in sync, as not all replicas need to read every log or write during every block. Practical Implications The findings present several implications for financial institutions: · Increased Security and Transparency: With an immutable audit trail provided by the blockchain, it helps with regulatory compliance and operational transparency, in turn reducing fraud and errors. · Cost Efficiency: Smart contracts automate procedures to lower human involvement leading to enhanced efficiency and lower costs. · Strategic Investment: Beyond technical advantages, institutions should evaluate the cost of integration and limited scalability versus the potential benefits of blockchain. Strategic investments will be needed around optimization technologies.",N/A
Environmental,BCGDNXZQ,2021,6,4.64,"The text describes the implementation of blockchain in banking, including case studies and technical evaluations, which indicates a prototype demonstration in a relevant or operational environment (TRL 6).",Scalability issues with high transaction volumes|Regulatory uncertainty and lack of universal regulatory policies|Interoperability problems between different blockchain platforms,"[Source: Financial Security And Transparency With Blockchain Solutions | Section: Methodology]
• Regulatory compliance is still one of the hurdles for adoption. • Future developments are expected to enhance further banking security via blockchain. Conclusion of Results and Discussion This study purports that blockchain technology reinforces financial security with cryptographic assurance, automated smart contracts, and real-time fraud detection. However, issues related to scalability and government regulations still remain as barriers to full-scale adoption. Future innovations shall envisage a runway incorporating AI and blockchain technology with optimized security and solutions. Figure 4: Blockchain Compliance Monitoring: Risk Assessment 5. Challenges and Future Directions Despite the large benefits of using blockchain technology for banking security and transparency, the extensive acceptance of blockchain faces a multitude of challenging issues. These include, but are not limited to, such limitations as scalability issues, regulatory concerns around accepting blockchain languorously, interoperability between blockchain platforms, and the high computational costs associated with blockchain networks. Yet, improvements in AI, quantum-resistance cryptography, and cross-chain interoperability are expected to be significant in facing these challenges and driving blockchain adoption at financial institutions. 5.1 Challenges in Blockchain Adoption for Banking Security 5.1.1 Scalability Issues Legacy blockchain architecture, such as Bitcoin, or Ethereum, invariably causes slow transaction rates, primarily due to the Proof of Work (PoW) consensus mechanism. High transaction fees and energy consumption continue to hinder blockchain's scalability in banking transactions with high throughput. Potential Solution: Layer-2 scaling solutions like Lightning Network and Rollups can increase transaction speed and efficiency. 5.1.2 Regulatory Uncertainty Global financial regulations that do not completely adapt blockchain-based transactions lend themselves to legal and compliance uncertainties. Anti-money laundering(AML) and know your customer(KYC) compliance work against public blockchain implementations.",N/A
Governance,FDXMDVZW,2024,0,2.57,,,"[Source: REVOLUTIONIZING BANKING SECURITY: INTEGRATING ARTIFICIAL INTELLIGENCE, BLOCKCHAIN, AND BUSINESS INTELLIGENCE FOR ENHANCED CYBERSECURITY | Section: Abstract]
The implementation of AI involves deploying sophisticated algorithms and models tailored to the specific security needs and threat landscape of banking institutions. Additionally, continuous monitoring and refinement of AI systems are essential to ensure optimal performance and adaptability to evolving cyber threats. Blockchain technology plays a pivotal role in ensuring the security and integrity of banking transactions. By leveraging decentralized and immutable ledgers, Blockchain provides a Farayola, P.No. 501-514 Page 510 tamper-proof record of transactional data, making it virtually impossible for unauthorized parties to alter or manipulate transaction records. The implementation of Blockchain involves deploying distributed ledger technology (DLT) to create a secure and transparent transactional framework for banking operations. Smart contracts, powered by Blockchain, enable automated and secure execution of transactions, further enhancing efficiency and reducing the risk of fraud. Moreover, the integration of Blockchain with existing banking systems requires careful consideration of interoperability, scalability, and regulatory compliance to ensure seamless adoption and integration. Business Intelligence (BI) complements AI and Blockchain by providing data-driven insights that inform decision-making and enhance cyber security measures.",N/A
Governance,3PNMVLNZ,2023,6,5.23,"The text describes a unified cross-platform financial data architecture, which is a well-established concept in the field of financial technology. The author provides evidence-based information on the benefits and challenges of implementing such an architecture, including improvements in efficiency, accuracy, and compliance.","The text highlights the complexity of navigating multiple privacy regulations across jurisdictions, but does not provide a clear solution to this problem.|The author notes that unified data systems can introduce bias and opacity in AI models, but does not offer a comprehensive plan for mitigating these risks.","[Source: Cross-platform financial data unification to strengthen compliance, fraud detection and risk controls | Section: Introduction]
For instance, a transaction chain that moves through a series of low-KYC wallets or bridges into privacy coins can be flagged for enhanced due diligence [20]. Similarly, AI can detect structuring behavior where users break large transfers into smaller ones to evade reporting thresholds by identifying frequency, timing, and destination patterns that collectively indicate evasion tactics. Real-time AML frameworks also benefit from access to external signals. News sentiment analysis, politically exposed person (PEP) databases, sanctions lists, and darknet transaction monitoring can be integrated via APIs into centralized alert engines. The fusion of on-chain and off-chain data helps eliminate false positives while escalating genuinely anomalous activity to compliance officers. Cross-institutional alert sharing is another frontier. With unified data layers, multiple banks and platforms can share red-flagged entities while preserving privacy through secure multiparty computation (SMPC) or zero-knowledge proofs [21]. Moreover, adaptive risk scoring ensures that thresholds evolve dynamically with changes in user behavior, rather than relying on static rulesets. As shown in Figure 3, a compliance dashboard fed by AI models can present investigators with alert explanations, transaction chains, and user behavior graphs. This layered visualization approach improves auditability and ensures that alert disposition aligns with evolving regulatory requirements [22]. 4.3. Regulatory Standards (e.g., FATF, GDPR, PSD2) and Cross-Border Data Management Financial compliance is not only a technical concern but a jurisdictional labyrinth shaped by overlapping international standards and regional mandates. Key among these is the Financial Action Task Force (FATF) framework, which establishes AML/CTF principles that countries must translate into national law. Adherence to FATF’s 40 Recommendations has become a prerequisite for global financial legitimacy [23]. These recommendations underscore the importance of effective CDD, beneficial ownership transparency, and suspicious transaction reporting tasks that unified data architectures can operationalize efficiently. Meanwhile, General Data Protection Regulation (GDPR) introduces a different set of constraints by prioritizing user privacy and data sovereignty.",N/A
Governance,FDXMDVZW,2024,0,2.57,,,"[Source: REVOLUTIONIZING BANKING SECURITY: INTEGRATING ARTIFICIAL INTELLIGENCE, BLOCKCHAIN, AND BUSINESS INTELLIGENCE FOR ENHANCED CYBERSECURITY | Section: Abstract]
However, banks often face challenges in accessing and managing diverse datasets dispersed across multiple systems and platforms. Moreover, the complex and dynamic nature of financial data poses challenges for AI algorithms, which must continuously adapt to changing patterns and behaviors to detect and mitigate emerging threats. Similarly, Blockchain technology presents technical challenges related to scalability, interoperability, and performance. While Blockchain offers a decentralized and immutable ledger for secure transactions, its scalability remains a concern, particularly in high-volume banking environments. Interoperability between different Blockchain platforms and legacy systems is also a challenge, requiring banks to invest in integration solutions and standards to ensure seamless data exchange. Additionally, the computational resources required for Blockchain consensus mechanisms impose performance limitations that may impact transaction speed and efficiency. Organizational challenges represent another barrier to the integration of AI, Blockchain, and BI in banking security. Banks must navigate complex organizational structures, legacy systems, and cultural barriers that may impede innovation and collaboration. Resistance to Farayola, P.No.",N/A
Governance,EEPS5ENI,2024,6,5.23,"The study demonstrates a practical trial of IOTA Tangle and API in achieving interoperability between DLTs and legacy systems, with evidence from the +CityxChange project.",Different consensus mechanisms employed by various DLT platforms can hinder interoperability.|Proprietary modules in private-based DLTs can affect interoperability among DLTs.|Data standardisation is a challenge faced in achieving DLT interoperability.,"[Source: Enabling interoperable distributed ledger technology with legacy platforms for enterprise digitalization | Section: Results]
However, there are several issues that impact DLTs achieving interoperability with either other DLTs or legacy systems, such as tolerance for diversification, the confirmation of atomicity, security, enhancement of efficiency and friendliness to software developers Other challenges faced by DLT interoperability comprise how to support reliable access control for smart contracts. While any access policy can possibly be deployed and enforced within a stand-alone smart contract, a good security protocol involves decoupling control policy and enforcement from definite data access (Tenorio-Fornes et al. 2021). Another issue relates to how to support common cross-DLT transactions, for example in blockchains where they are different to cross-chain deals and atomic swaps. A well-known challenge is how to facilitate communication among smart contracts, which is presently not feasible for contracts in different DLTs (Dinh, Datta, and Ooi 2019). Data standardisation is another challenge faced in achieving DLT interoperability. For collaborators to share information within or across different DLT platforms, all data must adhere to a similar data format to ensure standardisation as this helps all stakeholders to understand the information presented. However, most DLTs employ different standardised data representation, which makes DLT platforms interoperability difficult and results in different standards with diverse data attributes (Hewett, van Gogh, and Moreover, different legal frameworks are employed by DLTs across the world. Hence, it can be challenging to determine data owner across the distributed ledger network because of the decentralised characteristics of DLT platforms, which makes it difficult to specify who is legally in charge of interoperable DLTs (Wang 2021). Also, in a decentralised 86 B.",N/A
Governance,ZDZNJP85,2021,6,4.63,"The paper discusses existing blockchain-based supply chain management systems, their limitations, and potential solutions to improve their security. The authors provide a thorough analysis of the threat model, identify research gaps, and propose recommendations for enhancing the protection of critical assets and information.","The current BC-SCM systems lack business process-level information, which is essential for detecting advanced attacks and ensuring operational compliance with policies and directives.|The authors recommend incorporating business process information into BC-SCM systems to provide end-to-end transparency of interactions and detect potential errors or inconsistencies in stakeholders' business processes.","[Source: Security of Blockchain-Based Supply Chain Management Systems: Challenges and Opportunities | Section: Introduction]
Micro-payments are used to pay for services. Inter-connectivity among devices enable distributed devices to request and pay for services through distributed role management and micro-payments through micro-services. Regulatory compliance is establishedbytrackingequipmentorprocesshistoryinanindeliblerecordandenabling easy sharing of this information with regulatory agencies or insurers. Although, the platform onlysupports complianceof datashared among variousstakeholders andtheir devices,itislimitedtosupportcomplianceofbusinessprocessesthatmayinvolvecrosschains and cross-border regulations. IBM’s reported [84] that several regulation-initiatives have been started around the globetopromoteblockchaintechnologytolowercostswhileincreasingtransparency. The U.S. Securities and Exchange Commission (SEC) formed a Distributed Ledger Technology Working Group to build expertise, identify emerging risk areas, and coordinate efforts among the SEC’s divisions and offices. The group consists of over seventy members that assist in coordination with federal, state, and local law enforcement and regulatory partners, and liaising with industry. Similarly, The Bank of England, working with a consulting firm, has developed a multi-node scalable blockchain platform that contains several “smart contracts” to illustrate the applications of the technology. The European Securities and Markets Authority has recently published the results of its 2016 market consultation exercise, and in the U.S., the Financial Industry Regulatory Authority is in a similarmarketexercise. Also,theHongKongMonetaryAuthority launched its“Fintech Supervisory Sandbox” that allows banks to conduct pilot trials in a controlled production Appl. Sci.2021,11, 5585 21 of 29 environment,without the needto achievefull compliance. Afew banks are in discussions for projects in areas such as blockchain and artificial intelligence. 6.2.2. Security to Smart Contracts and Their Execution Environment In addition to providing security to crypto-currency transactions and operations, industries also developed tools to identify vulnerabilities in smart contracts and their underlying virtual execution environment. These vulnerabilities include (but not limited to) short address stack, delegate call, blockchain ingestion, wallet theft, double-spending, cryptojacking,defaultvisibilities,andtransactionorderingdependence.",N/A
